"","Season","School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"237",2003,"Cal State Fullerton","Big West","10","19","62.9","66.7","-3.72","-3.00","-7.82","1.10","-6.72"
"238",2003,"Cleveland State","Horizon","8","22","65.6","73.2","-7.57","0.62","-4.57","-2.38","-6.95"
"239",2003,"Indiana State","MVC","7","24","56.4","65.7","-9.32","2.37","-12.59","5.64","-6.95"
"240",2003,"McNeese State","Southland","15","14","70.2","69.3","0.97","-5.44","-2.47","-4.52","-6.99"
"241",2003,"North Texas","Sun Belt (West)","7","21","70.2","77.8","-7.64","3.09","0.60","-7.86","-7.25"
"242",2003,"Furman","Southern (South)","14","17","66.0","66.2","-0.19","-3.15","-8.77","1.45","-7.33"
"243",2003,"Saint Peter's","MAAC","10","19","73.5","78.1","-4.55","-2.97","2.01","-9.53","-7.52"
"244",2003,"Winthrop","Big South","20","10","70.1","64.7","5.40","-10.58","-5.46","-2.28","-7.74"
"245",2003,"Georgia Southern","Southern (South)","16","13","76.8","76.1","0.66","-5.61","2.97","-10.73","-7.77"
"246",2003,"Hampton","MEAC","19","11","71.5","68.8","2.67","-10.51","-3.15","-4.70","-7.85"
"247",2003,"Quinnipiac","NEC","17","12","73.8","72.3","1.48","-8.56","-0.03","-7.85","-7.88"
"248",2003,"Buffalo","MAC (East)","5","23","64.8","72.2","-7.39","-0.57","-5.70","-2.26","-7.96"
"249",2003,"Tennessee-Martin","OVC","14","14","76.5","76.3","0.29","-2.77","0.05","-8.08","-8.03"
"250",2003,"Lafayette","Patriot","13","16","67.9","68.1","-0.24","-5.22","-2.78","-5.36","-8.14"
"251",2003,"Central Connecticut State","NEC","15","13","67.5","67.1","0.43","-8.58","-8.14","-0.01","-8.15"
"252",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"253",2003,"Colgate","Patriot","14","14","67.8","66.8","1.00","-6.46","-5.81","-2.54","-8.35"
"254",2003,"Southeast Missouri State","OVC","11","19","71.6","75.1","-3.47","-3.18","-2.89","-5.47","-8.36"
"255",2003,"Monmouth","NEC","15","13","66.0","67.1","-1.07","-7.48","-8.87","0.31","-8.55"
"256",2003,"Hofstra","CAA","8","21","64.1","70.6","-6.52","-2.06","-5.53","-3.04","-8.57"
